name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Museum of Army Music,Royal Military School of Music,Kneller Hall,2 Kneller Rd,Richmond upon Thames,www.army.mod.uk › Corps of Army Music › The Royal Military School of Music,10002261149,E09000027,Whitton,E05000533,514693.0001221001,174192.00012210011,-0.3490971537515554,51.45458757174663,11/13/2022
Hampton Court Palace,Molesey,East Molesey,NA,Richmond upon Thames,https://www.hrp.org.uk/hampton-court-palace/,10002266633,E09000027,Hampton,E05000520,515727.0001221001,168514.00012210011,-0.3360757494833674,51.403338613730256,11/13/2022
Kew Palace,Royal Botanic Gardens Kew,Richmond,NA,Richmond upon Thames,https://www.hrp.org.uk/kew-palace/,10002266941,E09000027,Kew,E05000524,518747.0001221001,177642.00012210011,-0.289611456816858,51.484762112572234,11/13/2022
Strawberry Hill House,268 Waldegrave Rd,Twickenham,NA,Richmond upon Thames,http://www.strawberryhillhouse.org.uk/,10002267260,E09000027,South Twickenham,E05000529,515842.0001221001,172340.00012210011,-0.3331721889179164,51.43770637039902,11/13/2022
Heath Robinson Museum,Pinner Memorial Park,West End Lane,Pinner,Harrow,www.heathrobinsonmuseum.org,10002293329,E09000015,Pinner South,E05000298,511853.9401244968,189412.88012699783,-0.38511177050026807,51.59197478991383,11/13/2022
Harrow Museum and Heritage Centre,Headstone Manor,Pinner View, Harrow,Harrow,http://www.harrow.gov.uk/info/200070/museums_and_galleries/190/harrow_museum,10002293456,E09000015,Headstone North,E05000292,514038.0001221001,189683.00012210011,-0.35350554186854927,51.593964863962455,11/13/2022
Hackney Museum,1 Reading Lane,NA,NA,Hackney,http://www.hackney.gov.uk/cm-museum.htm,10008313143,E09000012,Hackney Central,E05009372,534895.0001221001,184633.00012210011,-0.05448119857964057,51.54397082115478,11/13/2022
House Mill,Three Mill Lane,Bromley-by-Bow,NA,Newham,NA,10008997232,E09000025,Stratford and New Town,E05000492,538309.0001221001,182825.00012210011,-0.0059849775480750765,51.526895842642396,11/13/2022
Royal Museums Greenwich,Park Row,Greenwich,NA,Greenwich,http://www.rmg.co.uk/,10010231322,E09000011,Greenwich West,E05000222,538716.6500854939,177688.86010739952,-0.002131999263578617,51.48063722226006,11/13/2022
Eltham Palace,Court Yard,NA,NA,Greenwich,http://www.english-heritage.org.uk/elthampalace,10010235842,E09000011,Eltham South,E05000219,542410.3001098931,173988.45007319748,0.04953884482941139,51.44646434339617,11/13/2022
National Maritime Museum,Romney Road,NA,NA,Greenwich,http://www.rmg.co.uk/national-maritime-museum#,10010243516,E09000011,Greenwich West,E05000222,538613.8201293945,177662.45007319748,-0.0036224085077582614,51.48042508638326,11/13/2022
Charterhouse,Sutton's Hospital,Charterhouse Square,NA,Islington,http://www.thecharterhouse.org/,10023218636,E09000019,Bunhill,E05000367,531913.0001221001,181977.00012210011,-0.09845837358037024,51.52080505241114,11/13/2022
Cinema Museum,"The Master’s House, The Old Lambeth Workhouse",2 Dugard Way,Kennington,Lambeth,http://www.rmg.co.uk/cuttysark,10023852579,E09000022,Prince's,E05000427,531641.0001221001,178739.00012210011,-0.10358587382100554,51.491766791140634,11/13/2022
Michael Faraday Museum at the Royal Institution,The Royal Institution,21 Albemarle Street,NA,City of Westminster,http://www.rigb.org/,10033528771,E09000033,West End,E05000649,528996.0001221001,180637.00012210011,-0.14097367952252435,51.50943533117895,11/13/2022
Tate Britain,Millbank,NA,NA,City of Westminster,http://www.tate.org.uk/britain,10033538284,E09000033,Vincent Square,E05000646,530117.0001221001,178543.00012210011,-0.1256001033877576,51.49035803874169,11/13/2022
The Society of Antiquaries of London - Burlington House,Burlington House,Piccadilly,Mayfair,City of Westminster,www.​sal.​org.​uk,10033541032,E09000033,West End,E05000649,529194.0001221001,180507.00012210011,-0.13816946145088013,51.508221680264064,11/13/2022
Royal Academy of Arts,Burlington House,Piccadilly,NA,City of Westminster,http://www.royalacademy.org.uk/,10033541035,E09000033,West End,E05000649,529205.0001221001,180548.00012210011,-0.1379960032177383,51.50858766214103,11/13/2022
MCC Museum,Lord’s Ground,NA,NA,City of Westminster,http://www.lords.org/,10033543781,E09000033,Regent's Park,E05000643,526828.0001221001,182652.00012210011,-0.17147524194996855,51.52803681287451,11/13/2022
The Courtauld Gallery,Somerset House,Strand,NA,City of Westminster,http://www.courtauld.ac.uk/gallery,10033544134,E09000033,St. James's,E05000644,530700.0001221001,180800.00012210011,-0.11637022560506519,51.51050866913706,11/13/2022
Household Cavalry Museum,Horseguards Parade,Whitehall,NA,City of Westminster,http://www.culture24.org.uk/se000447,10033545888,E09000033,St. James's,E05000644,530073.0001221001,180112.00012210011,-0.12565506860427494,51.50446985961127,11/13/2022
Royal Academy of Music Museum,1–5 York Gate,Marylebone Road,NA,City of Westminster,http://www.ram.ac.uk/museum,10033546476,E09000033,Marylebone High Street,E05000641,528279.0001221001,182128.00012210011,-0.1507581629240015,51.52299939427841,11/13/2022
Guards Museum,Wellington Barracks,Birdcage Walk,NA,City of Westminster,http://www.theguardsmuseum.com/,10033547407,E09000033,St. James's,E05000644,529322.0001221001,179495.00012210011,-0.13669700472516455,51.499096801806424,11/13/2022
Banqueting House Whitehall,Whitehall,NA,NA,City of Westminster,www.hrp.org.uk,10033549112,E09000033,St. James's,E05000644,530165.0001221001,180065.00012210011,-0.12434746601054919,51.50402625307403,11/13/2022
Imperial College Healthcare Charity Art Collection at St Mary's Hospital,Ground Floor,Clarence Memorial Wing St Mary's Hospital,Praed Street,City of Westminster,NA,10033554476,E09000033,Hyde Park,E05000636,526819.0001221001,181411.00012210011,-0.17205170169298328,51.51688486220038,11/13/2022
The Wallace Collection,Hertford House,Manchester Square,NA,City of Westminster,http://www.wallacecollection.org/,10033582984,E09000033,Marylebone High Street,E05000641,528258.0001221001,181422.00012210011,-0.15131773726560022,51.51665878426624,11/13/2022
British Optical Association Museum,The College of Optometrists,41-42 Craven St,NA,City of Westminster,https://www.college-optometrists.org/the-college/museum.html,10033590012,E09000033,St. James's,E05000644,530195.370117195,180433.67010499537,-0.12377396620496547,51.50733274150851,11/13/2022
Anaesthesia Museum,21 Portland Pl,Marylebone,NA,City of Westminster,https://www.aagbi.org/education/heritage-centre/anaesthesia-museum,10033598850,E09000033,West End,E05000649,528792.0001221001,181683.00012210011,-0.14352971881882431,51.518883072801806,11/13/2022
London Transport Museum,39 Wellington Street,NA,NA,City of Westminster,http://www.ltmuseum.co.uk/,10033620435,E09000033,St. James's,E05000644,530470.0001221001,180917.00012210011,-0.11963972576010476,51.511613388721976,11/13/2022
"Courtauld Gallery, University of London",Somerset House, Strand,NA,City of Westminster,http://www.courtauld.ac.uk/,10033626383,E09000033,St. James's,E05000644,530773.120117195,180770.0601195991,-0.11532815072920338,51.51022265817148,11/13/2022
Museum of the Royal Philatelic Society London,Royal Philatelic Society London,41 Devonshire Place,Marylebone,City of Westminster,http://www.rpsl.org.uk/,10033629406,E09000033,Marylebone High Street,E05000641,528441.0001221001,181906.00012210011,-0.14850505989290916,51.52096728318708,11/13/2022
Churchill (Museum & Cabinet) War Rooms,Clive Steps,King Charles Street,NA,City of Westminster,http://iwm.org.uk/,10033636263,E09000033,St. James's,E05000644,529932.3801269978,179796.5200805962,-0.1277964648807338,51.50166677359795,11/13/2022
Havering Museum,19-21 High St,Romford,NA,Havering,www.haveringmuseum.org.uk/,10070706838,E09000016,Romford Town,E05000319,551123.9201049954,188812.42010499537,0.1812041030642409,51.57741389832989,11/13/2022
Marble Hill House,Richmond Rd,Twickenham,NA,Richmond upon Thames,http://www.culture24.org.uk/se000472,10070709920,E09000027,Twickenham Riverside,E05000531,517302.0001221001,173630.00012210011,-0.31174665815311303,51.44900128160505,11/13/2022
Museum of Richmond,Old Town Hall,Whittaker Avenue,Richmond,Richmond upon Thames,www.​museumofrichmond.​com,10070710719,E09000027,South Richmond,E05000528,517746.0001221001,174675.00012210011,-0.30501152697548656,51.458302243647935,11/13/2022
World Rugby Museum,Twickenham Stadium,Rugby Road,Twickenham,Richmond upon Thames,http://www.rfu.com/museum,10070721329,E09000027,St. Margarets and North Twickenham,E05000527,515383.0001221001,174231.00012210011,-0.3391569704845238,51.454797903251425,11/13/2022
Islington Museum, 245 St John St,Clerkenwell,NA,Islington,NA,10091003195,E09000019,Clerkenwell,E05000370,531587.0001221001,182544.00012210011,-0.10294311761155996,51.52597704259145,11/13/2022
Bentley Priory Museum,Mansion House Drive Stanmore,NA,NA,Harrow,www.bentleypriory.org,10091091981,E09000015,Stanmore Park,E05000303,515481.1301269978,193281.00012210011,-0.33149338620789803,51.62601153754884,11/13/2022
Black Cultural Archives,1 Windrush Square,NA,NA,Lambeth,www.bcaheritage.org.uk,10091118537,E09000022,Coldharbour,E05000420,531079.1600952,175189.95007319748,-0.11299205007026038,51.45999969423414,11/13/2022
Redbridge Museum,Redbridge Central Library,Clements Road,lford,Redbridge,redbridgefirstworldwar.org.uk,10091799736,E09000026,Ilford Town,E05011246,543963.0001221001,186394.00012210011,0.07693303918424754,51.557555486957405,11/13/2022
Horniman Museum and Gardens,100 London Road,Forest Hill,NA,Lewisham,http://www.horniman.ac.uk/,10091839078,E09000023,Forest Hill,E05000444,534876.0001221001,173132.00012210011,-0.059150882331969974,51.44061192869596,11/13/2022
Library and Museum of Freemasonry,Freemasons' Hall,60 Great Queen Street,NA,Camden,http://www.freemasonry.london.museum/,10091860258,E09000007,Holborn and Covent Garden,E05000138,530469.0001221001,181255.00012210011,-0.11952901172719528,51.51465144183382,11/13/2022
Charles Dickens Museum,48 Doughty St,London,NA,Camden,https://dickensmuseum.com/,10091862283,E09000007,Holborn and Covent Garden,E05000138,530783.0001221001,182202.00012210011,-0.11465439890377065,51.523090089291436,11/13/2022
Crossness Engines,The Old Works. Thames Water S.T.W.,Bazalgette Way,Abbey Wood,Bexley,http://www.crossness.org.uk/,10091915267,E09000004,Thamesmead East,E05011232,548200.0001221001,180700.00012210011,0.13561790964121723,51.50529066269473,11/13/2022
National Portrait Gallery,St Martin’s Place,NA,NA,City of Westminster,http://www.npg.org.uk/,100023431366,E09000033,St. James's,E05000644,529976.0001221001,180601.00012210011,-0.1268717668271471,51.50888715959563,11/13/2022
Hunterian Museum at the Royal College of Surgeons,Royal College of Surgeons,35-43 Lincoln’s Inn Fields,NA,City of Westminster,http://www.medicalmuseums.org/,10091945440,E09000033,St. James's,E05000644,530832.0001221001,181278.00012210011,-0.11429153910737108,51.514774193809444,11/13/2022
Royal College of Surgeons of England,35-43 Lincoln's Inn Fields,NA,NA,City of Westminster,https://www.rcseng.ac.uk/,10091945440,E09000033,St. James's,E05000644,530832.0001221001,181278.00012210011,-0.11429153910737108,51.514774193809444,11/13/2022
Kenwood House (known as the Iveagh Bequest),Hampstead Ln,Highgate,NA,Camden,http://www.culture24.org.uk/mw387,10091954503,E09000007,Highgate,E05000137,527087.0001221001,187419.00012210011,-0.16602072093380768,51.57082353021676,11/13/2022
Hall Place and Gardens,Bourne Road,Bexley,Kent,Bexley,https://www.hallplace.org.uk/,100020195288,E09000004,Crayford,E05011222,550211.0001221001,174329.00012210011,0.16186577048756273,51.44750902865697,11/13/2022
Geffrye Museum,136 Kingsland Road,London,NA,Hackney,http://www.geffrye-museum.org.uk/,100021051873,E09000012,Haggerston,E05009375,533534.0001221001,183159.00012210011,-0.07465742182953801,51.53104717246731,11/13/2022
Ham House,Ham House and Garden,Ham St,Richmond-upon-Thames,Richmond upon Thames,https://www.nationaltrust.org.uk/ham-house-and-garden,100022307688,E09000027,"Ham, Petersham and Richmond Riverside",E05000519,517098.0001221001,172976.00012210011,-0.3148977837863815,51.44316490459031,11/13/2022
Orleans House Gallery,Riverside,Twickenham,NA,Richmond upon Thames,http://www.richmond.gov.uk/arts,100022344488,E09000027,Twickenham Riverside,E05000531,516907.0001221001,173378.00012210011,-0.3175122785457695,51.44681783097269,11/13/2022
